File,FF (time),FFD (time),FF (bins),FFD (bins)
1000_average.txt,0.05011749267578125,0.05876636505126953,575,564
1000_best.txt,0.04229021072387695,0.04208493232727051,500,500
1000_worst.txt,0.04196286201477051,0.05619478225708008,671,563
5000_average.txt,1.2489995956420898,1.4539620876312256,2785,2755
5000_best.txt,1.1635410785675049,1.1553590297698975,2500,2500
5000_worst.txt,1.0635690689086914,1.3198692798614502,3316,2761
10000_average.txt,4.751314878463745,5.60585618019104,5506,5465
10000_best.txt,4.922822713851929,4.809903860092163,5000,5000
10000_worst.txt,4.662507057189941,6.033180475234985,6646,5522
30000_average.txt,45.928558111190796,50.0456862449646,16580,16530
30000_best.txt,41.24291181564331,42.17469763755798,15000,15000
30000_worst.txt,40.706597328186035,49.75775504112244,19876,16493
